id,question,answer,Departement
143,What are the timelines that apply to the selection of trainee students for the Dual Studies program?,"Candidates are selected through a collaborative process between GJU and partner companies.

First, the German Jordanian University evaluates the student's application for the Dual Studies program. If admission requirements are met and the student is accepted at GJU, the application documents are sent to three companies that the student has previously identified as preferred options for their practical phases.

Second, the university organizes a Company Day, providing partner companies with an opportunity to introduce themselves to the students.

Third, each company reviews the incoming applications and internally ranks the candidates. The company may use interviews or other assessment methods to make their selections. Through this process, the company provides a list to the Dual Studies coordinator of the students they intend to accept for their practical training phases.

Fourth, the Dual Studies coordinator formulates an employment plan for the students and companies. In case of any mismatches, a joint alignment meeting will be held.

Finally, the student and the company sign a contract, outlining their respective rights and responsibilities.",Dual Studies (DS); Answer
144,What does a Company-Student contract in a Dual Study program look like?,"Important elements of this contract (model contract is available at the Office for Industrial Links) are:

-Overall date of beginning and of end of contract.
-Content and duration of training
-Daily and weekly working time during practical phases
-Number of days of vacation
-Rights and duties of the company and the student
-Height of expenses allowance paid to the student
-Insurance matters
-Obligation of the student to work in the Company for a certain period of time after graduation, on the condition that the Company offers an appropriate position to the graduate. If he/she nevertheless chooses to leave the Company earlier he/she has to pay back the all expense allowances received during training.",Dual Studies (DS); Answer
145,What about vacation?,"-Dual Students are entitled to the same amount of paid vacation days like any other regular trainee with an apprenticeship contract at the same company.
-Leave is to be taken during the practical phases.
-Company should grant additional leave in case of academic exams (e.g. make-up exams) and other important academic obligations falling into the practical phases.",Dual Studies (DS); Answer
146,How high are the monthly expense allowance of Dual Students?,"-The companies pay the expense allowance to all Dual Student trainees.
-This allowance is considered a voluntary compensation by the company for transportation costs, meals and additional burdens born by the student and related to the fact that he/she is working/studying at different, maybe remote locations.
-The height of the allowance should be 250 JOD per month, but not less than 200 JOD per month.
-The allowance should be the same for all students in one cohort.",Dual Studies (DS); Answer
147,What will be the costs a company has to bear per Dual Student?,"-Investment of the company includes the expense allowance of the student trainee and staff costs related to the training (guidance and supervision of the Dual Student, communication and coordination with GJU).
-A financial contribution for the services of GJU or for external experts provided by third partners through GJU is not required.
-Partners have to keep in mind that, due to high workload and reduced presence on campus, Dual Students need to be taken special care of.",Dual Studies (DS); Answer
148,Are dual studies students insured?,"(Yes). During the practical stages, the company is required to provide suitable insurance. The university provides continuous health insurance.",Dual Studies (DS); Answer
149,Where is the CDSD department located?,"Our department is located in the main campus, Building L , 205",Campus Development and Sustainability Department (CDSD); Answer
150,"How can I get an indication sign for my office (office no. , staff name, job title, etc….) ?",Please contact cdsd@gju.edu.jo,Campus Development and Sustainability Department (CDSD); Answer
151,How can I get a copy for GJU Buildings plans?,"Please send your request to rasha.hadadden@gju.edu.jo .
If you are a GJU student, please attach a recommendation letter from your instructor about the plans you need.

Do not forget to mention

The purpose of your request.
The name and the level of the plans needed.",Campus Development and Sustainability Department (CDSD); Answer
152,"What are the procedures required for any construction work ( like Furnishing labs , redesign a room or office ,...) ?","1-Addressing the Engineering Department to make the necessary design and estimate the costs.
2-Obtain the approval of the University President, the approval of the Building Committee, and the Urban Planning Committee if necessary.
3-Make a financial reservation through supplies Department (SIMD).
4-Provide the engineering department with full documentation above to complete the procedures and send it to the purchasing committee",Campus Development and Sustainability Department (CDSD); Answer
153,Who Designed GJU Buildings and Infrastructure ?,"DAR AL OMRAN Company Designed Building A,B,C,M,L and the campus Infrastructure 
SOBOH Consulting Engineers Designed the Sports Hall Building.
ROKON AL-HANDASEH Company Designed Building H .",Campus Development and Sustainability Department (CDSD); Answer
154,How to apply for research fund?,An application for research fund support is submitted by filling out a form (Application for Seed Grant) found on the website of the DSR,Deanship of Scientific Research (DSR); Answer
155,Is it possible to support a graduation project and a master's thesis from DSR?,"Yes, the maximum support amount is 5,000 JD",Deanship of Scientific Research (DSR); Answer
156,What documents do I need to process my Travel Expenses Refund Application?,"Your Travel Expenses Refund Application should include the following items:

-Formal Letter to request the Travel Expenses Refund.
-Conference Approval
-Conference Certificate 
-Conference Schedule
-Conference Registration Fees Invoice + stamps
-Plane Ticket Invoice + Stamps
-Boarding Pass (Round-trip​)​​ OR Copy of stamped passport (Round-trip​)",Deanship of Scientific Research (DSR); Answer
157,What documents do I need to provide when submitting my Conference Participation Application?,"To start processing your application, kindly provide us with the following documents:

1-Conference application form
2-Acceptance letter
3-Proof of review
4-Hard copy of the paper
5-Conference Program*
*A Conference Program can be provided after the conference is completed.",Deanship of Scientific Research (DSR); Answer
158,WHY JORDAN?,"Studying in Jordan is a great opportunity for foreign students  because of its:

-Spectacular high quality education opportunities.  
-Internationally recognized degrees and qualifications. 
-Low cost of education and living in Jordan. 
- Beautiful landscape, amazing nature, hospitality of people.
-Modern infrastructure and ease of access to all types of logistics and services.
-Stable political and economic system.
-Safe environment and it is considered the safe haven of the middle east .",Deanship of Graduate Studies (DGS); Answer
159,Why Graduate Studies?,"Graduate studies are the key to personal development and progress for the following reasons:-

 
-Graduate studies support personal talent to explore research potential for solutions to global problems, challenges and issues.
-To increase self-confidence and self-esteem, thereby contributing to the advancement of science and the discovery of what is new.
-Improving employment opportunities and living standards through knowledge and skills.
-It opens the door to educational opportunities in Europe, America and the rest of the world.",Deanship of Graduate Studies (DGS); Answer
160,Why Choose GJU for your graduate studies?,"GJU is the right choice for graduate studies because of the following: 

-Highly regarded programs taught in English with most entrepreneurial and innovative curricula structures adapted to the industrial needs.
-Unique location with state-of-the-art facilities and resources.
-Multidisciplinary research that bridges science from variety of domains,focusing on applied problem solving researches.
-Welcoming community inspired by trust, respect, values, and integrity.
-Opportunity to study in Germany via the study abroad exchange program organized in coordination with GJU partner universities.
-Opportunity to obtain GJU or DAAD scholarship within GJU and for further postgraduate.",Deanship of Graduate Studies (DGS); Answer
161,How can I access GJU library databases and electronic resources off-campus?,"Students, Faculty Members and Administrative Staff can access GJU Library databases off- campus by follow the link below:

https://library.gju.edu.jo/",Library ; Answer
162,How many books can I borrow ?,"Graduate students

10 Books              2 weeks

Undergraduate students

5   Books              2 weeks

Faculty Members

10 Books              1 semester

Administrative Staff

5   Books              2 weeks",Library ; Answer
163,How can I order a new book? 'link',"You can order a new book by fill the online books suggestion form:

Click here    https://docs.google.com/forms/d/e/1FAIpQLSebuxHWhpu8NGwxjVdyz-kCn1lD90YOgkTu1KUXLpcKMbDyag/viewform",Library ; Answer
164,How can I request scanning service?,"You can request a scanned version (PDF) of the books you need to study from for the exams.

1-If you know the book you want, go to step no. 2, if not, go to the library page (http://www.gju.edu.jo/content/library-439) select “E-resources (off-campus), Login using your GJU credentials, and then search for the books you want using the library catalogue.

2-Use the following form Book Scanning Service form to request the chapter you want (Maximum 2 chapters at a time).

3-We will fulfill your request the next business day. We will send you your request using your e-mail, so please use your GJU e-mail.

Important notice: due to copyrights, we will watermark your copy with your details, and you will be held responsible to keep it for your own usage, and not distributing it, even to others inside GJU.",Library ; Answer
165,How can I book the GJU library facilities?,"Exhibition Hall

Library Auditorium

Study Room",Library ; Answer
166,What is the procedure for submitting proposals for international funding applications?,"The project PI must provide the IPO with a project summary that includes the project title, a summary of the activities, the foreseen obligations of the university, the budget, and the project partners.

If the project has to be implemented in an academic unit at the university, then the PI must provide us with the unit’s endorsement of the proposal.

After which, the IPO will request the President’s approval of the proposal.",International Projects Office (IPO); Answer
167,"After receiving the funding agency’s approval of the project, what is the process for signing the agreement?","After providing the IPO with the funding agency’s approval of the project and the draft agreement and budget along with all relevant annexes, the IPO will proceed to obtain the financial and legal consultations to ensure that GJU can adhere to the contractual agreements as needed.

After which the IPO will request the President’s approval and signature of the agreement as the official legal representative of GJU.",International Projects Office (IPO); Answer
168,How can I assign new project team members?'word document',"New project team members can be assigned by filling out one of the appropriate forms linked below and sending them to the IPO, after which the IPO will request the President’s approval of all new appointments before their work begins and after ensuring that the request is in line with GJU's and the funding agency's regulations and that there are enough project funds.

New project team member appointment request (GJU Staff).
New project team member appointment request (Non-GJU Staff).",International Projects Office (IPO); Answer
169,Is there a limit to the number of working days on external projects for GJU project team members?,"Academic faculty members with a teaching overload during the academic and summer semesters, may work up to 12 working days per month on international projects.

Administrative staff members may work up to 12 working days per month on international projects.",International Projects Office (IPO); Answer
170,What is the procedure for disbursing project staff remunerations? 'word document',"The PI shall submit a payment request using the forms provided by the funding agency if any, otherwise the form provided by the IPO shall be used along with a timesheet indicating the working period, working days (for academic staff and Non-GJU staff members) or hours (for administrative staff members), and the tasks performed.

Payment Request
Timesheet in days (for academic staff and Non-GJU staff members)
Timesheet in hours (for administrative staff members)
The IPO shall then audit the request according to the team member’s appointment, the project’s agreement and guidelines, as well as the budget availability before forwarding the request to the Finance Department.",International Projects Office (IPO); Answer
171,When can I apply for the Professional Training Certificate Program in Social Work/Migration and Refugees?,Please stay updated with announcements made on the university website and the Consultation and Training Center Facebook page.,School of Applied Humanities and Social Sciences (SAHSS); Answer
172,Do we offer courses during the summer semester?,"No, the school does not offer any courses on the summer semester, however the students can take courses from the University electives and Compulsory courses.",School of Applied Humanities and Social Sciences (SAHSS); Answer
173,What are requirements for traveling to Germany as a Translation or GEBC student?,"1- Minimum GPA of 61

2- Passing German VI

3- Passing English 5

4- Field Training (160 Hours)

5- Passing the 4 parts of the B1 exam

6- Passing Arabic 100 

7- Finishing at least 90 Credit hours of the study plan",School of Applied Humanities and Social Sciences (SAHSS); Answer
174,What certificates do we accept for the B1?,"LGC (ÖSD) 

Goethe Institute ",School of Applied Humanities and Social Sciences (SAHSS); Answer
175,Can I submit a certificate from an outside institute and be exempted from German levels?,You need to do a placement test at the school even if you submitted a certificate.,School of Applied Humanities and Social Sciences (SAHSS); Answer
176,When is the MA in Social Work/ Migration and Refugees offered?,We are open to receive applications for every 1st semester of each academic year. Please stay updated through the announcements from the Deanship of Graduate Studies.,School of Applied Humanities and Social Sciences (SAHSS); Answer
177,"My B.A. is unrelated to Social Sciences, can I still apply to the M.A. in Social Work/ Migration and Refugees?","Yes, you are welcome to apply, we consider applications uniquely and have previously accepted students from different and diverse 1st degrees.",School of Applied Humanities and Social Sciences (SAHSS); Answer
178,Can I obtain equivalency for my credits of the professional training certificate in Social Work in the MA?,"Unfortunately that is not the case, since while the topics and courses are similar, the certificates are not considered by the ministry of higher education to be of similar academic levels, and therefore the courses cannot be equivalized in the Master's program.",School of Applied Humanities and Social Sciences (SAHSS); Answer
179,"I work at an NGO, can I do my internship credits for the MA in Social Work/ Migration and Refugees where I work?","Yes, if you are able to work on different projects and achieve the internship course objectives within your organization. Please consult with your course professor for the best way to acheive that.",School of Applied Humanities and Social Sciences (SAHSS); Answer
180,What do you want to know about VISA?,Click here for more. https://www.gju.edu.jo/content/visa-faqs-16076,International Affairs Department (IAD); Answer
181,What do you want to know about Accommodation?,Click here for more. https://www.gju.edu.jo/content/accommodation-faqs-16081,International Affairs Department (IAD); Answer
182,What do you want to know about Finance Issues?,Click here for more. https://www.gju.edu.jo/content/finance-faqs-16079,International Affairs Department (IAD); Answer
183,What do you want to know about Health Insurance?,Click here for more. https://www.gju.edu.jo/content/insurance-faqs-16077,International Affairs Department (IAD); Answer
184,What do you want to know about Studying in Germany?,https://www.gju.edu.jo/content/faqs-16127#:~:text=Click%20here%20for%20more. Click here for more. https://www.gju.edu.jo/content/studying-germany-faqs-16080,International Affairs Department (IAD); Answer
185,What do you want to Know about Other issues?,Click here for more. https://www.gju.edu.jo/content/other-faqs-16082,International Affairs Department (IAD); Answer
186,What is Erasmus+ and how can I apply?,"Erasmus+ is the European Union’s (EU) funding program for education and training between 2021 and 2027. The Erasmus+ program builds on the achievements of 30 years of European programs in the fields of education, training, and youth.

The German Jordanian University has successfully established several partnerships with distinguished universities all over Europe under the Erasmus+ International Credit Mobility (ICM). It encourages the student to study and work in Europe. It promotes trans-national co-operation projects among Universities across European countries.

The Erasmus+ program provides GJU students with the opportunity to spend one semester at one of our partner universities. The program supports students with a monthly scholarship that covers living expenses for up to five months as well as a travel allowance. More details about what you can expect from your home University and the receiving University at each step of your mobility, and rights and obligations as ERASMUS students you will find in the Erasmus Student Charter.

Read our FAQ for Erasmus+ HERE https://www.gju.edu.jo/sites/default/files/International%20Affairs%20Department/erasmus_faq.pdf",International Affairs Department (IAD); Answer
187,What makes Nursing program at GJU special?,"The collaboration between GJU and German universities to establish a School of Nursing brings together diverse expertise, resources, and cultural perspectives, creating a unique and enriching educational experience. It can contribute to the development of competent and compassionate nurses who are well-prepared to address the complex healthcare challenges of the future.",School of Nursing (SN); Answer
188,How many credit hours is the Nursing program?,The number of credit hours for the Bachelor of Science in Nursing is 149 credit hours. More information about the study plan can be found here. https://www.gju.edu.jo/sites/default/files/Nursing/programs/nursing_study_plan.pdf,School of Nursing (SN); Answer
189,How much is the credit hour fees for the Nursing program? 'Excel',"- The fees are JD110 per credit hour for the Jordanian students with Jordanian General Secondary Education Certificate (Tawjihi).

- The fees are JD130 per credit hour for all non-Jordanian students & Foreign Certificates for Jordanian students with Arab or foreign high school certificates such as (IB, IGCSE/GCE, HSD & SAT II).

More Information about the registration fees can be found here. ",School of Nursing (SN); Answer
190,Is the German year obligatory for Nursing students?,"Yes, The German year is obligatory. Nursing students will spend their fourth year in Germany.",School of Nursing (SN); Answer
191,What is expected from students during the German year?,"The students must study for one semester in a partner university, and work for another semester as an international intensive clinical training in the hospital. More information about the German Year can be found here. https://www.gju.edu.jo/content/about-department-3565",School of Nursing (SN); Answer
192,In I as an  employee forget to enter the fingerprint when coming or leaving?,"The HR Department can enter his fingerprint into the fingerprint system's After the  approval of his director that he  has attended on that day .

And the can be done only not more than  three times  in the year , and if it exceeds three times, it will be deducted from his leave.",Human Resources Department (HRD); Answer
193,When is my administrative hours is posted into my  administrative vacation balance?,As soon as it is received by the Human Resources Department after signing it from the Director of the Department or the Dean of the school,Human Resources Department (HRD); Answer
194,I had a sick leave and it's  not  entered into the vacation system yet ?,"It has not been received yet or received by the Human Resources Department, and it will be entered sequentially with the rest of the entry work",Human Resources Department (HRD); Answer
195,I   have requested  a proof of employment ?,"your request is in progress, you will be notified when it is ready.",Human Resources Department (HRD); Answer
196,When will I be transferred to be annual contract employee?,"After one year from starting work with monthly reward , after the approval of your direct manager and the employees Affairs Committee you can be transferred to annual contract employee.",Human Resources Department (HRD); Answer
197,When will I be transferred to the classified category  (without a contract)?,After Two years from your first contract (at least) and after you have fulfilled the terms for transferring to the classified category that are mentioned in the Laws & Regulations Instructions and after the approval of your direct manager and the employee's Affairs Committee.,Human Resources Department (HRD); Answer
198,When will I be Permanent Service Category  in the university?,After two years of being in classified category and after you have fulfilled the terms that is mentioned in the Laws & Regulations Instructions and after the approval of your direct manager and the employee's Affairs Committee.,Human Resources Department (HRD); Answer
199,When can I get my end of service reward ?,"After one year being in the classified category , where it will be paid at the end of each year.",Human Resources Department (HRD); Answer
200,How can I apply for a job at the German Jordanian University?,"If the job is a research and teaching assistant, it will be announced on the university's website, after that a job application will be submitted  in  the Human Resources Department
 
If the job is administrative, the appointment is made through the Civil Service Bureau.",Human Resources Department (HRD); Answer
201,"If I am assigned to teach in the summer , Do I have  a  vacation on  the summer semester ?","The summer vacation of faculty members is (10) weeks. As for those assigned to administrative work (dean, deputy dean...), their vacations will be (8) weeks.",Human Resources Department (HRD); Answer
202,Is the health insurance is optional for university employees?,The health insurance is optional for university employees.,Human Resources Department (HRD); Answer
203,Who are the family members that  i can be added them to the  health insurance?,"They may  include the categories  mentioned below :
 
- The Participant  husband/wife and his parents
 
- Children under 18 years old .
 
- Children who  are still on their receiving  their education and  until they complete their education  or until they reach the age of twenty-five, whichever comes first.
 
-  Single or divorced girls who are not working.",Human Resources Department (HRD); Answer
204,Who is responsible for  providing  health insurance services to the university?,Health insurance is a contract with a private company for a specific period under conditions and benefits that the participants get.,Human Resources Department (HRD); Answer
205,May I choose any university I like in Germany?,"In cooperation with your Exchange Coordinator at your school; you will choose five preferred German host universities all equal in priority, among GJU’s partner universities. Distribution to host universities will be according to different criteria.",International Affairs Department (IAD); Answer
206,Can I contact a university that isn’t a partner of the GJU if I wanted to enroll at That particular University?,Please do not contact any other non-partner university in Germany in order to enroll or apply for a seat,International Affairs Department (IAD); Answer
207,May I choose the person I go with?,"Yes, you can but you will lose the chance of having your preferred host university.",International Affairs Department (IAD); Answer
208,How many credit hours should I pass in order to start my German year?,"The total amount of your passed credit hours (excluding German Levels I to VI) at GJU is 

90 credit hours or higher for all engineering majors and Architecture 

85 credit hours or higher for all Business majors, Design and Visual Communication and Computer Science 

72 credit hours or higher for B.A. German and English for Business and Communication and B.A. Translation students following the new study plan from 2014 ",International Affairs Department (IAD); Answer
209,Is it possible to apply for the German year if my GPA is below 61% hoping that I will raise it before I travel to Germany?,"No, it is not. As the GJU German year, the regulation states that the GPA must not be less than 61% when the student apply for the German year.",International Affairs Department (IAD); Answer
210,Is it possible to start my Internship semester before the study semester?,"No, it is not as it is against the German year regulations of GJU.",International Affairs Department (IAD); Answer
211,If I canceled my German year for non-academic reasons. Will that affect my allocation for the semester after?,"Yes, it will. Those who cancel their German year after the allocation and for non-academic reasons will get the least preference in the university allocation process for the semester after.",International Affairs Department (IAD); Answer
212,Are we going to take similar courses of what we’ve taken at GJU? ,The courses provided at your host university will be related to your field of study. For further details please refer to your Exchange Coordinator at your school.,International Affairs Department (IAD); Answer
213,Is it true that universities in the west of Germany provide a better education than universities in the east?,"False. All universities in Germany are run by the respective federal state and are very well equipped. Tutors are skilled and provide the same level of teaching everywhere. Actually, some of the most famous German universities are located in East Germany with an excellent reputation throughout Europe and around the world. Generally, German universities do not excel as whole institutions but more specifically on the selection of certain fields of study.",International Affairs Department (IAD); Answer
214,"Do I have to pay more, if I decide to have extra credit hours in Germany?","No, you do not have to pay any tuition fees to the host university. For changes to your learning agreement you should consult your Exchange Officer at GJU and your Contact Professor at the host university.",International Affairs Department (IAD); Answer
215,"If I have one subject left to graduate, can I take that subject in Germany instead of coming back for 1 semester?",This depends to a large degree on the study program you are taking at GJU. You should always consult your GJU Exchange Coordinator in such cases.,International Affairs Department (IAD); Answer
216,"Before we begin with our courses, are we taking a German course at the host university to strengthen our language?","Many universities offer introductory seminars and lectures for exchange students. Sometimes there is a language course for one or two weeks for exchange students (within the Orientierungswoche) before the beginning of the semester. Sometimes language courses are offered to accompany your studies. Also, some universities offer language courses related to the field of study during the semester. Some universities might even have a compulsory language course for all foreign students.",International Affairs Department (IAD); Answer
217,What services does CeLAPI provide for GJU students?,What services does CeLAPI provide for GJU students?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
218,What services does CeLAPI provide for GJU instructors?,What services does CeLAPI provide for GJU instructors?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
219,Does the center provide technical support for the platforms and electronic services offered by GJU?,Does the center provide technical support for the platforms and electronic services offered by GJU?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
220,Does CeLAPI assist with developing blended courses?,Does CeLAPI assist with developing blended courses?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
221,How does CeLAPI select and develop full online courses?,How does CeLAPI select and develop full online courses?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
222,How can students and instructors access CeLAPI’s training resources?,How can students and instructors access CeLAPI’s training resources?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
223,Does CeLAPI provide training on the use of AI tools in education?,Does CeLAPI provide training on the use of AI tools in education?,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
224,كيف يضمن المركز جودة المقررات الدراسية عبر الإنترنت والمدمجة؟,كيف يضمن المركز جودة المقررات الدراسية عبر الإنترنت والمدمجة؟,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
225,هل يمكن للشركاء الخارجيين التعاون مع المركز؟,هل يمكن للشركاء الخارجيين التعاون مع المركز؟,Center for E-Learning and Academic Performance Improvement (CeLAPI) ; Answer
226,Do you have accommodations for students of the hosted programs?,"Please note that THWS, like all German universities, cannot offer accommodation for its students itself but is closely cooperating with the responsible public and private providers in this regard. You could either search for an individual apartment for your own or apply for the student dormitories at Würzburg or Schweinfurt.",Campus GATE/ Hosted programmes; Answer
227,Is the Hydrogen Technology program accredited by the Jordanian Engineers Association?,"The Jordanian Engineers Association endorsed that graduates of Hydrogen Technology Major will be registered at JEA Mechanical Section, Thermal Engineering Department, Energy Engineering Branch.",Campus GATE/ Hosted programmes; Answer
228,What are hosted programs?,"The programs offer a distinctive study experience that begins at the GJU in Jordan and ends at the THWS in Germany. Unlike other study options at GJU, graduates acquire a German degree. They thus fulfil the academic requirements to practice their profession in Germany, Jordan and the Arab region. Immediately upon graduation, they are eligible for a residency to seek employment in Germany.",Campus GATE/ Hosted programmes; Answer
229,Which hosted program does GJU offer?,"At the moment GJU offers two hosted programs:

B.A.  Social Work Transnational

B. Eng. Hydrogen Technology Transnational",Campus GATE/ Hosted programmes; Answer
230,What is the timeline for the hosted programs?,"Students will typically start with a pre-year at GJU that prepares them for the study program which spans one academic year. After that, the course of study spans over 5 semesters for the B.A. Social Work with 2 semesters at GJU and 3 at THWS. For the B.Eng. Hydrogen Technology students will spend 4 semesters at GJU and 3 at THWS. The first intake for the pre-year starts this winter semester 2023/2024 at GJU. The application period is open and will last until 5th of October 2023.",Campus GATE/ Hosted programmes; Answer
231,What are the tuition fees for the hosted programs?,"For Social Work (Transnational), the tuition fees are approximately 17.800 JOD (pre-year included). For Hydrogen Technology (Transnational), the tuition fees are approximately 27.500 JOD (pre-year included). This covers all semester courses and exams. (Please, take into consideration volatile exchange rates as the fees to THWS would have to be paid in EURO). Retaking an exam or a course in the German program or extending your studies by the one or the other semester in Germany is free (no credit hour system). Please note that by law a German health care insurance is required after the pre-year; for the time still in Jordan that means you would have it in addition to the Jordanian one. Costs for the German health insurance range between approximately 600-1110 € per year.",Campus GATE/ Hosted programmes; Answer
232,Do you have scholarships for the hosted programs?,"At the moment, we do have Magdeburg-Stendal Sur-Place and third country Scholarship for the first semester of the Pre-Year.",Campus GATE/ Hosted programmes; Answer
233,What is the pre-year?,"As graduates of the hosted programs will hold a German degree, they must fulfill certain requirements regarding the qualification for admission to a German university. By law, Tawjihi and most other international school-leaving qualifications are not recognized as such a qualification, unfortunately. The required German language skills are also usually lacking. For this reason, GJU in close cooperation with THWS sets up a pre-year's course for each of the hosted programs that, if successfully passed, can be fully counted towards the duration of the degree for Social Work and in large parts for Hydrogen Technology. It also provides the German language skills required for the first admission level at B1 level of the Common European Framework of Reference (CEFR).",Campus GATE/ Hosted programmes; Answer
234,What are the costs for the pre-year?,Approximately 6.525 JOD. This includes all pre-semester courses and German language classes.,Campus GATE/ Hosted programmes; Answer
235,What are the requirements for the pre-year?,"For the B.A. Social Work students need the General Secondary Certificate (Jordanian Tawjihi) or any other equivalent certificate.

Degree: 70%

For the B.Eng. Hydrogen Technology students need the General Secondary Certificate (Jordanian Tawjihi) or any other equivalent certificate.

Degree: 80%

Students of both programs must also have a B2 English certificate when entering either one the pre-year or the German hosted program, itself.

The following English certificates are accepted:

-English Placement Test at GJU-CERF ""the Common European Framework of References for Languages""
-Valid TOEFL IBT® test result of Minimum 83 points (internet-based) 
-Valid IELTS test (Minimum 6.0 points)
-Cambridge First Certificate in English (FCE) or Cambridge B2 First, minimum grade C
-Cambridge Certificate in Advanced English (CAE) or Cambridge C1 Advanced, minimum level B2
-UNIcert® Certificate, minimum level II (UniCert® II)
-Any other equivalent certificate, GJU would typically accept as an equivalent for the aforementioned.",Campus GATE/ Hosted programmes; Answer
236,What are the requirements for the German hosted programs?,"The prerequisites for admission to both programs are a proof of:

a) the general university entrance qualification for German universities of applied sciences,

b) the subject-related university entrance qualification (also conveyed by the GJU pre-year),

c) the advanced technical college entrance qualification, or

d) an entrance qualification for a bachelor's degree program at universities of applied sciences recognized as equivalent by law or by the competent state authority.

The course of study is not subject to a numerus clausus admission restriction.

Further language admission requirements for the study program are German and English language skills. Students must provide evidence of the following German certificates:

-at the beginning of the study program (or by the end of the GJU pre-year): at least B1 (CEFR)
-by the end of the 4th semester at the latest: at least B2 (CEFR) (It is assumed that a language level of C1 is required to pass the German language modules, which is why the GJU language courses also aim at this level.
It is also highly recommended to continue language training once having moved to Germany.) Students must demonstrate an English certificate of at least B2 (or TOEFL: at least 72) prior to the 1st semester (prior to the GJU pre-year).Passed exams at the German Language Center of the GJU will be accepted as proof. Arabic language skills are an advantage for practical components in the second semester, but not mandatory.",Campus GATE/ Hosted programmes; Answer
237,What are the costs of living in Würzburg-Schweinfurt?,"Würzburg and Schweinfurt are fantastic locations to study abroad – also for financial reasons. Life in Franconia is cheaper than in many other parts of Germany. However, you will still need to plan for certain fixed costs for your studies at THWS.",Campus GATE/ Hosted programmes; Answer
238,What is pharmaceutical and chemical engineering (PCE)?,"It is a hybrid integration of Pharmacy and Chemical Engineering so that it provides graduates with the requirements of the pharmaceutical and chemical industries. Furthermore, it is considered a branch of Chemical Engineering in the Jordanian Engineers Association.",pharmaceutical and chemical engineering; Answer
239,What makes PCE program special?,"This program enjoys the following attribute:

1-It is a hybrid integration of Pharmacy and Chemical Engineering so that it provides graduates with the requirements of the pharmaceutical and chemical industries
2-It is the only program in Jordan and the region
3-It satisfies the needs of the pharmaceutical industry, which is one of the largest in Jordan, the region, and the world. Moreover, in the vicinity of the university there are numerous pharmaceutical plants where our students can train, and our graduates can find a suitable job opportunity.
4-Our students can get in their 4th year further education in one of the partner German universities and training in one of the big German companies.",pharmaceutical and chemical engineering; Answer
240,When PCE program started?,In 2005,pharmaceutical and chemical engineering; Answer
241,What degrees are offered in PCE program?,"BSc in Pharmaceutical and Chemical Engineering, since 2005.

MScin Pharmaceutical and Chemical Engineering. (expected to start in First Semester 2022/2023 ) ",pharmaceutical and chemical engineering; Answer
242,What are the fields of the industry can the graduate PCE Engineer work in?,"Pharmaceuticals, cosmetics, biochemical, chemicals, refineries, petrochemicals, oil and gas, environmental, water and wastewater treatment, fertilizers, phosphates, potash, food, paints, polymers and plastics, paper, cement",pharmaceutical and chemical engineering; Answer
243,What positions can the graduate PCE Engineer have in the industry?,"Operation engineer, manufacturing engineer, process design engineer, total quality management (GMP, validation, quality assurance, quality control)safety engineer, researcher, research and teaching assistant, sales engineer, marketing engineer, project manager, consultant, quality assurance engineer/manager, quality control engineer/manager.",pharmaceutical and chemical engineering; Answer
244,Can the PCE graduate work as pharmacist?,"No. However, the PCE graduate can work in drugs and cosmetics manufacturing.",pharmaceutical and chemical engineering; Answer
245,Is the Hydrogen Technology program accredited by the Jordanian Engineers Association?,"The Jordanian Engineers Association endorsed that graduates of Hydrogen Technology Major will be registered at JEA Mechanical Section, Thermal Engineering Department, Energy Engineering Branch.",Hydrogen Engineering; Answer
246,Who is the person with low vision?,"The person with low vision is the person who has impairment of visual functioning even after treatment and/or standard refractive correction, and has a visual acuity of less than 6/18 (0.3), or a visual field less than 10 degrees from the point of fixation. This impairment causes restriction in that person's everyday life such as reading, using cellphone, watching TV, seeing the board at school, mobility and moving around in different light conditions, and other functional problems.",Vision Rehabilitation Center (VRC); Answer
247,Who can enroll in the professional training courses offered at the Vision Rehabilitation Center (VRC)?,"The courses are offered for specialists who want to improve their knowledge and skills in the field of vision rehabilitation such as optometrists, occupational therapists, physiotherapists, special education and any other specialists dealing with persons with vision impairment.",Vision Rehabilitation Center (VRC); Answer
248,Are the certificates for the training courses accredited by the Ministry of higher education?,"The training courses, that are offered on site at the Vision Rehabilitation Center (VRC), are accredited by the Ministry of Higher Education. They do not lead to an academic degree, and their training hours do not account in case the trainee wishes to continue his/her studies for such a degree.",Vision Rehabilitation Center (VRC); Answer
249,Where is the Vision Rehabilitation Center (VRC) located?,"Jabal Amman, Mua’th Bin Jabal Street, Darat Othman Bdeir, Bldg No. 5",Vision Rehabilitation Center (VRC); Answer
